Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2004,2004,Int$/cap,3744,X,
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2005,2005,Int$/cap,3845,X,
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2006,2006,Int$/cap,3971,X,
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2007,2007,Int$/cap,4116,X,
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2008,2008,Int$/cap,4003,X,
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2009,2009,Int$/cap,4012,X,
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2010,2010,Int$/cap,4212,X,
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2011,2011,Int$/cap,4307,X,
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2012,2012,Int$/cap,4388,X,
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2013,2013,Int$/cap,4443,X,
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2014,2014,Int$/cap,4559,X,
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2015,2015,Int$/cap,4680,X,
